metric,bin_idx,percentile_range,value_range,n,n_sig,pct_sig
nodes,1,0.0% - 22.2%,"(0.999, 3]",38310,2329,6.079352649438789
nodes,2,22.2% - 30.2%,"(3, 6]",13677,1100,8.042699422387951
nodes,3,30.2% - 40.7%,"(6, 13]",18105,1458,8.053024026512013
nodes,4,40.7% - 50.6%,"(13, 25]",17169,1761,10.256858291106063
nodes,5,50.6% - 60.1%,"(25, 45]",16332,1768,10.825373499877541
nodes,6,60.1% - 70.1%,"(45, 92]",17163,2382,13.878692536269883
nodes,7,70.1% - 81.6%,"(92, 201]",19893,2574,12.939224852963354
nodes,8,81.6% - 90.2%,"(201, 212]",14739,977,6.62867223013773
nodes,9,90.2% - 100.0%,"(212, 500]",16938,2651,15.651198488605502
seeds,1,0.0% - 35.7%,"(0.999, 2]",61578,3799,6.169411153333983
seeds,2,35.7% - 45.5%,"(2, 3]",16833,1290,7.663518089467118
seeds,3,45.5% - 52.8%,"(3, 4]",12663,1033,8.157624575535023
seeds,4,52.8% - 62.7%,"(4, 6]",16941,1690,9.975798359010684
seeds,5,62.7% - 70.6%,"(6, 9]",13572,815,6.005010315355143
seeds,6,70.6% - 80.1%,"(9, 16]",16401,1677,10.224986281324309
seeds,7,80.1% - 90.2%,"(16, 40]",17364,2298,13.234277816171389
seeds,8,90.2% - 100.0%,"(40, 496]",16974,4398,25.91021562389537
edges,1,0.0% - 23.3%,"(-0.001, 1]",40068,2396,5.979834281721074
edges,2,23.3% - 30.9%,"(1, 4]",13095,1187,9.064528445971744
edges,3,30.9% - 40.6%,"(4, 13]",16734,1567,9.364168758216804
edges,4,40.6% - 50.2%,"(13, 31]",16542,1786,10.796759763027445
edges,5,50.2% - 60.1%,"(31, 74]",17106,1885,11.019525312755759
edges,6,60.1% - 70.0%,"(74, 210]",17103,2448,14.3132783722154
edges,7,70.0% - 80.0%,"(210, 887]",17217,2666,15.484695359237962
edges,8,80.0% - 90.0%,"(887, 2713]",17232,1479,8.582869080779945
edges,9,90.0% - 100.0%,"(2713, 27493]",17229,1586,9.205409484009518
