metric,bin_idx,percentile_range,value_range,n,n_sig,pct_sig
seed_specificity_mean,1,0.0% - 10.1%,"(2.335, 3.637]",17400,1013,5.82183908045977
seed_specificity_mean,2,10.1% - 20.0%,"(3.637, 4.049]",17091,1034,6.04996781932011
seed_specificity_mean,3,20.0% - 30.1%,"(4.049, 4.278]",17349,946,5.452763848060407
seed_specificity_mean,4,30.1% - 40.0%,"(4.278, 4.451]",17202,3007,17.48052552028834
seed_specificity_mean,5,40.0% - 50.0%,"(4.451, 4.614]",17172,2130,12.403913347309574
seed_specificity_mean,6,50.0% - 60.0%,"(4.614, 4.761]",17265,2668,15.453229076165654
seed_specificity_mean,7,60.0% - 70.0%,"(4.761, 4.949]",17193,1903,11.06845809341011
seed_specificity_mean,8,70.0% - 79.9%,"(4.949, 5.146]",17214,1459,8.475659347043104
seed_specificity_mean,9,79.9% - 90.9%,"(5.146, 5.45]",18795,2181,11.60415003990423
seed_specificity_mean,10,90.9% - 98.5%,"(5.45, 6.143]",15645,659,4.212208373282198
seed_specificity_adjusted_mean,1,0.0% - 10.6%,"(1.619, 3.216]",18222,1012,5.5537262649544505
seed_specificity_adjusted_mean,2,10.6% - 19.9%,"(3.216, 4.258]",18546,1039,5.602286207268413
seed_specificity_adjusted_mean,3,19.9% - 29.9%,"(4.258, 5.569]",15036,1218,8.100558659217876
seed_specificity_adjusted_mean,4,29.9% - 40.1%,"(5.569, 6.784]",17214,1120,6.506332055303822
seed_specificity_adjusted_mean,5,40.1% - 49.8%,"(6.784, 8.014]",17208,1514,8.798233379823339
seed_specificity_adjusted_mean,6,49.8% - 60.1%,"(8.014, 9.524]",17310,1432,8.272674754477181
seed_specificity_adjusted_mean,7,60.1% - 69.9%,"(9.524, 11.586]",17109,1420,8.299725290782629
seed_specificity_adjusted_mean,8,69.9% - 80.0%,"(11.586, 14.523]",17349,1931,11.130324514381233
seed_specificity_adjusted_mean,9,80.0% - 90.1%,"(14.523, 18.637]",17229,2171,12.60084740843926
seed_specificity_adjusted_mean,10,90.1% - 100.0%,"(18.637, 36.746]",17103,4143,24.223820382389054
seed_entropy,1,0.0% - 20.0%,"(-0.001, 0.224]",34527,1714,4.964230891765864
seed_entropy,2,20.0% - 29.6%,"(0.224, 0.673]",17334,1565,9.028498903888313
seed_entropy,3,29.6% - 39.9%,"(0.673, 0.955]",17235,822,4.769364664926023
seed_entropy,4,39.9% - 50.0%,"(0.955, 1.266]",17082,1317,7.709870038637162
seed_entropy,5,50.0% - 59.9%,"(1.266, 1.605]",17319,1986,11.467174779144292
seed_entropy,6,59.9% - 70.0%,"(1.605, 1.978]",17145,1284,7.489063867016623
seed_entropy,7,70.0% - 80.0%,"(1.978, 2.56]",17301,1721,9.947401884284146
seed_entropy,8,80.0% - 90.0%,"(2.56, 3.326]",17325,2084,12.028860028860029
seed_entropy,9,90.0% - 100.0%,"(3.326, 6.335]",17058,4507,26.42162035408606
seed_gene_score_mean,1,0.0% - 18.4%,"(0.3, 0.3]",31674,975,3.078234514112521
seed_gene_score_mean,2,18.4% - 20.0%,"(0.3, 0.302]",2823,342,12.114771519659936
seed_gene_score_mean,3,20.0% - 31.1%,"(0.302, 0.31]",19065,1393,7.306582743246787
seed_gene_score_mean,4,31.1% - 40.1%,"(0.31, 0.326667]",15534,2443,15.726792841508948
seed_gene_score_mean,5,40.1% - 50.1%,"(0.326667, 0.343333]",17226,1479,8.585858585858587
seed_gene_score_mean,6,50.1% - 60.1%,"(0.343333, 0.362222]",17271,2790,16.154247003647733
seed_gene_score_mean,7,60.1% - 70.1%,"(0.362222, 0.39]",17211,1980,11.50427052466446
seed_gene_score_mean,8,70.1% - 80.1%,"(0.39, 0.420769]",17214,2078,12.071569652608343
seed_gene_score_mean,9,80.1% - 90.0%,"(0.420769, 0.506479]",17109,1916,11.19878426559121
seed_gene_score_mean,10,90.0% - 100.0%,"(0.506479, 1]",17199,1604,9.326123611837897
jaccard_mean,1,0.0% - 9.9%,"(-0.001, 0.000185]",17298,913,5.278066828535091
jaccard_mean,2,9.9% - 20.1%,"(0.000185, 0.000607]",17316,1374,7.934857934857935
jaccard_mean,3,20.1% - 30.2%,"(0.000607, 0.00113]",17190,1546,8.993600930773706
jaccard_mean,4,30.2% - 40.1%,"(0.00113, 0.00166]",17247,1708,9.903171566069462
jaccard_mean,5,40.1% - 49.9%,"(0.00166, 0.00261]",17151,986,5.7489359221036676
jaccard_mean,6,49.9% - 60.0%,"(0.00261, 0.00353]",17340,1935,11.15916955017301
jaccard_mean,7,60.0% - 70.2%,"(0.00353, 0.00449]",17223,1710,9.928583870405852
jaccard_mean,8,70.2% - 80.1%,"(0.00449, 0.0061]",17202,2167,12.597372398558306
jaccard_mean,9,80.1% - 90.1%,"(0.0061, 0.00781]",17274,2393,13.853189764964688
jaccard_mean,10,90.1% - 100.0%,"(0.00781, 0.015]",17085,2268,13.274802458296751
jaccard_max,1,0.0% - 10.0%,"(-0.001, 0.0588]",18348,1328,7.23784608676695
jaccard_max,2,10.0% - 18.9%,"(0.0588, 0.0909]",17394,1370,7.876279176727607
jaccard_max,3,18.9% - 30.3%,"(0.0909, 0.118]",16425,2880,17.534246575342465
jaccard_max,4,30.3% - 40.9%,"(0.118, 0.143]",18252,2420,13.258820951128643
jaccard_max,5,40.9% - 51.0%,"(0.143, 0.167]",17424,1199,6.8813131313131315
jaccard_max,6,51.0% - 60.1%,"(0.167, 0.207]",15693,1774,11.304403237112089
