metric,bin_idx,percentile_range,value_range,n,n_sig,pct_sig
seed_specificity_mean,1,0.0% - 10.1%,"(2.335, 3.649]",93,43,46.236559139784944
seed_specificity_mean,2,10.1% - 20.1%,"(3.649, 4.07]",93,56,60.215053763440864
seed_specificity_mean,3,20.1% - 30.0%,"(4.07, 4.301]",93,48,51.61290322580645
seed_specificity_mean,4,30.0% - 40.0%,"(4.301, 4.483]",93,60,64.51612903225806
seed_specificity_mean,5,40.0% - 50.0%,"(4.483, 4.638]",93,65,69.89247311827957
seed_specificity_mean,6,50.0% - 60.0%,"(4.638, 4.783]",93,64,68.81720430107526
seed_specificity_mean,7,60.0% - 70.0%,"(4.783, 4.978]",93,53,56.98924731182796
seed_specificity_mean,8,70.0% - 80.0%,"(4.978, 5.185]",93,57,61.29032258064516
seed_specificity_mean,9,80.0% - 90.4%,"(5.185, 5.45]",97,49,50.51546391752577
seed_specificity_mean,10,90.4% - 98.3%,"(5.45, 6.143]",89,36,40.449438202247194
seed_specificity_adjusted_mean,1,0.0% - 10.8%,"(1.619, 3.216]",100,33,33.0
seed_specificity_adjusted_mean,2,10.8% - 18.7%,"(3.216, 3.977]",93,32,34.40860215053763
seed_specificity_adjusted_mean,3,18.7% - 30.0%,"(3.977, 5.428]",86,41,47.674418604651166
seed_specificity_adjusted_mean,4,30.0% - 40.0%,"(5.428, 6.621]",93,45,48.38709677419355
seed_specificity_adjusted_mean,5,40.0% - 50.0%,"(6.621, 8.05]",93,51,54.83870967741935
seed_specificity_adjusted_mean,6,50.0% - 60.0%,"(8.05, 9.632]",93,66,70.96774193548387
seed_specificity_adjusted_mean,7,60.0% - 70.0%,"(9.632, 12.021]",93,50,53.763440860215056
seed_specificity_adjusted_mean,8,70.0% - 80.0%,"(12.021, 15.048]",93,67,72.04301075268818
seed_specificity_adjusted_mean,9,80.0% - 90.0%,"(15.048, 19.878]",93,69,74.19354838709677
seed_specificity_adjusted_mean,10,90.0% - 99.9%,"(19.878, 36.746]",93,77,82.79569892473118
seed_entropy,1,0.0% - 30.0%,"(-0.001, 0.653]",279,103,36.91756272401434
seed_entropy,2,30.0% - 40.0%,"(0.653, 0.934]",93,46,49.46236559139785
seed_entropy,3,40.0% - 50.0%,"(0.934, 1.275]",93,53,56.98924731182796
seed_entropy,4,50.0% - 60.1%,"(1.275, 1.644]",93,59,63.44086021505376
seed_entropy,5,60.1% - 70.0%,"(1.644, 2.048]",93,55,59.13978494623656
seed_entropy,6,70.0% - 80.0%,"(2.048, 2.74]",93,65,69.89247311827957
seed_entropy,7,80.0% - 90.0%,"(2.74, 3.485]",93,72,77.41935483870968
seed_entropy,8,90.0% - 100.0%,"(3.485, 6.335]",93,78,83.87096774193549
seed_gene_score_mean,1,0.0% - 18.4%,"(0.3, 0.3]",171,64,37.42690058479532
seed_gene_score_mean,2,18.4% - 20.0%,"(0.3, 0.302191]",15,11,73.33333333333333
seed_gene_score_mean,3,20.0% - 30.9%,"(0.302191, 0.31]",101,47,46.53465346534654
seed_gene_score_mean,4,30.9% - 40.0%,"(0.31, 0.327194]",85,60,70.58823529411765
seed_gene_score_mean,5,40.0% - 50.0%,"(0.327194, 0.343653]",93,60,64.51612903225806
seed_gene_score_mean,6,50.0% - 60.0%,"(0.343653, 0.362333]",93,65,69.89247311827957
seed_gene_score_mean,7,60.0% - 70.0%,"(0.362333, 0.390442]",93,61,65.59139784946237
seed_gene_score_mean,8,70.0% - 80.0%,"(0.390442, 0.420865]",93,58,62.365591397849464
seed_gene_score_mean,9,80.0% - 90.0%,"(0.420865, 0.507179]",93,60,64.51612903225806
seed_gene_score_mean,10,90.0% - 100.0%,"(0.507179, 1]",93,45,48.38709677419355
jaccard_mean,1,0.0% - 10.0%,"(-0.001, 0.000156]",93,28,30.107526881720432
jaccard_mean,2,10.0% - 20.0%,"(0.000156, 0.000572]",93,45,48.38709677419355
jaccard_mean,3,20.0% - 30.1%,"(0.000572, 0.0011]",93,43,46.236559139784944
jaccard_mean,4,30.1% - 39.9%,"(0.0011, 0.00164]",94,50,53.191489361702125
jaccard_mean,5,39.9% - 50.0%,"(0.00164, 0.00262]",92,48,52.17391304347826
jaccard_mean,6,50.0% - 59.9%,"(0.00262, 0.00355]",93,56,60.215053763440864
jaccard_mean,7,59.9% - 70.0%,"(0.00355, 0.0046]",93,57,61.29032258064516
jaccard_mean,8,70.0% - 80.0%,"(0.0046, 0.00616]",93,67,72.04301075268818
jaccard_mean,9,80.0% - 89.9%,"(0.00616, 0.00787]",93,64,68.81720430107526
jaccard_mean,10,89.9% - 100.0%,"(0.00787, 0.015]",93,73,78.49462365591398
jaccard_max,1,0.0% - 10.0%,"(-0.001, 0.0525]",93,38,40.86021505376344
jaccard_max,2,10.0% - 20.0%,"(0.0525, 0.0888]",93,56,60.215053763440864
jaccard_max,3,20.0% - 30.1%,"(0.0888, 0.114]",93,63,67.74193548387096
jaccard_max,4,30.1% - 42.0%,"(0.114, 0.143]",112,79,70.53571428571429
jaccard_max,5,42.0% - 51.8%,"(0.143, 0.167]",91,58,63.73626373626374
jaccard_max,6,51.8% - 60.3%,"(0.167, 0.2]",79,48,60.75949367088607
jaccard_max,7,60.3% - 70.1%,"(0.2, 0.28]",91,54,59.34065934065934
jaccard_max,8,70.1% - 72.3%,"(0.28, 0.333]",100,46,46.0
jaccard_max,9,72.3% - 90.0%,"(0.333, 0.562]",85,35,41.1764705882353
jaccard_max,10,90.0% - 100.0%,"(0.562, 1]",93,54,58.064516129032256
