term,effect_type,coef_logit,std_err,z_value,p_value,odds_ratio,ci_low_or,ci_high_or
"C(_combo, Sum)[S.diamond | closeness]",method,-0.5245854296878246,0.055043368134259654,-9.530402071477097,1.5667522953135372e-21,0.5918006565007947,0.5312787466752605,0.6592170667968494
"C(_combo, Sum)[S.diamond | degree]",method,-0.04576856437298525,0.04830343186860765,-0.9475220000409575,0.3433728511960279,0.9552630185052263,0.8689744539928398,1.0501199780163335
"C(_combo, Sum)[S.diamond | trustrank]",method,0.37379083689327186,0.04394891460787019,8.50512100761494,1.8140628177869678e-17,1.453233155904049,1.3332939667817438,1.5839617203972178
"C(_combo, Sum)[S.domino | closeness]",method,-0.31336041123963254,0.044465184109418084,-7.047320673822652,1.823956551198847e-12,0.7309864093690217,0.6699778876427516,0.7975503976142247
"C(_combo, Sum)[S.domino | degree]",method,-0.16549340567272092,0.04250340737774974,-3.893650318476717,9.874696514866755e-05,0.847475451716986,0.7797370329751714,0.9210985382116371
"C(_combo, Sum)[S.domino | trustrank]",method,-0.1275424354512919,0.042027273653867964,-3.0347539671908645,0.0024073197916420607,0.8802560609784416,0.8106536526388712,0.9558345051144316
"C(_combo, Sum)[S.firstneighbor | closeness]",method,0.027544263001909073,0.051796716622443284,0.5317762359858591,0.5948809835745226,1.027927113240079,0.9286945059242558,1.1377628955417347
"C(_combo, Sum)[S.firstneighbor | degree]",method,0.08513924939780426,0.05071486570641396,1.6787829014607174,0.09319436214959739,1.0888686804501324,0.9858411322228233,1.2026633546846484
"C(_combo, Sum)[S.firstneighbor | trustrank]",method,0.4004286441569155,0.04543429202312325,8.813357187410823,1.214528010139679e-18,1.4924642966514525,1.3653066673495369,1.6314647324644302
"C(_combo, Sum)[S.no_tool | closeness]",method,0.07873143375825534,0.0382673653688336,2.057404083072236,0.03964737272319015,1.0819137175477653,1.0037357363855177,1.1661807483642712
"C(_combo, Sum)[S.no_tool | degree]",method,0.23835676316540869,0.0366808775861259,6.498120515403488,8.132964379605233e-11,1.269161902282754,1.181120499986843,1.3637659614103064
"C(_combo, Sum)[S.no_tool | trustrank]",method,0.2180166572358675,0.036874380576709026,5.912415444710505,3.371269203109658e-09,1.243607782514695,1.1569002143742706,1.3368139252766937
"C(_combo, Sum)[S.robust | closeness]",method,-0.30612114743608,0.04089582512460829,-7.485388704185293,7.133568799149621e-14,0.7362974135088344,0.6795832802692007,0.797744583894186
"C(_combo, Sum)[S.robust | degree]",method,-0.06338092508999174,0.03771339673618178,-1.680594445877235,0.09284171537923973,0.9385858746754634,0.8717105707664208,1.0105916730661717
"C(_combo, Sum)[S.robust | trustrank]",method,0.22073637907135973,0.03454281039940796,6.390226403672789,1.6564032260970185e-10,1.2469946533411673,1.1653642682613765,1.3343430100026819
"C(_combo, Sum)[S.robust_bias_aware | closeness]",method,-0.29064891466827963,0.040693803382368575,-7.142338403153764,9.175635963222274e-13,0.7477781658829975,0.6904530492818743,0.8098627212276388
"C(_combo, Sum)[S.robust_bias_aware | degree]",method,-0.057401659167194724,0.03765835302310409,-1.524274286025673,0.1274402078117294,0.9442147406848055,0.8770329861692642,1.0165426963250048
"C(_combo, Sum)[S.robust_bias_aware | trustrank]",method,0.21309143338057848,0.034640985181666854,6.1514253207022955,7.678968249226879e-10,1.2374977946778043,1.1562665809647628,1.3244357460843181
"C(_combo, Sum)[S.rwr | closeness]",method,-0.2279705026424291,0.04256586833132053,-5.355711314708112,8.522048216550627e-08,0.7961477437437718,0.7324222613721275,0.8654177559825055
"C(_combo, Sum)[S.rwr | degree]",method,-0.0013615045922099752,0.039170232606310085,-0.03475865476455315,0.9722721894122757,0.9986394218346748,0.9248407210403197,1.0783269725845213
