term,effect_type,coef_logit,std_err,z_value,p_value,odds_ratio,ci_low_or,ci_high_or
"C(_combo, Sum)[S.diamond | closeness]",method,-1.2692074282603176,0.06008788818551563,-21.12251680973977,4.939213577123525e-99,0.28105428921371267,0.2498292673530531,0.3161819842900801
"C(_combo, Sum)[S.diamond | degree]",method,-0.5039124725345334,0.05220804423792462,-9.652008227660914,4.820236866580299e-22,0.6041622613331364,0.5453986090280719,0.6692573687887453
"C(_combo, Sum)[S.diamond | trustrank]",method,0.22946920934223078,0.04694807554303601,4.887723441014801,1.0200869045404753e-06,1.2579321340691532,1.147347403183387,1.3791753478792257
"C(_combo, Sum)[S.domino | closeness]",method,-0.34723182400332897,0.053567928249728815,-6.482084249825115,9.046409714436943e-11,0.7066414928082071,0.6362122568723464,0.7848673048410046
"C(_combo, Sum)[S.domino | degree]",method,-0.10642609756340318,0.05163367827380998,-2.0611759828349365,0.03928625394926138,0.8990414870626984,0.8125106579645892,0.9947876837513857
"C(_combo, Sum)[S.domino | trustrank]",method,-0.04350267307938172,0.05116659786260655,-0.8502162523331308,0.39520486753522854,0.9574299948011677,0.8660718881871503,1.058425065457014
"C(_combo, Sum)[S.firstneighbor | closeness]",method,-0.13170674296065502,0.07162858818379873,-1.8387454827770153,0.06595263022760413,0.8765980259312582,0.7617809772331768,1.008720514205448
"C(_combo, Sum)[S.firstneighbor | degree]",method,-0.014568477546810633,0.07037262808997784,-0.20701909168694826,0.8359949484533697,0.9855371292567496,0.8585620756951812,1.1312908648535205
"C(_combo, Sum)[S.firstneighbor | trustrank]",method,0.6448057795142675,0.06397532774394507,10.078975790402184,6.843573863498208e-24,1.905616883491408,1.6810463740681214,2.1601877037214625
"C(_combo, Sum)[S.no_tool | closeness]",method,0.27755012157860903,0.046398261570460425,5.981907773788492,2.2053913946832333e-09,1.319892272570183,1.2051586282203326,1.4455488019557043
"C(_combo, Sum)[S.no_tool | degree]",method,0.5654769218919672,0.04488174373956167,12.59926363764515,2.1312490703368854e-36,1.7602871020161321,1.612055899510784,1.922148408417288
"C(_combo, Sum)[S.no_tool | trustrank]",method,0.5282997849403366,0.045064581288473134,11.72317083251072,9.697311647513155e-32,1.696046212509367,1.5526681352455016,1.8526642555928647
"C(_combo, Sum)[S.robust | closeness]",method,-0.43103076843392896,0.05195653424071343,-8.29598768918984,1.076866873344573e-16,0.6498389159413966,0.5869217903057135,0.7195006620080138
"C(_combo, Sum)[S.robust | degree]",method,-0.007304341180508684,0.04875945077537519,-0.14980359836615653,0.88091957031123,0.9927222706860603,0.902243257378351,1.0922747259753969
"C(_combo, Sum)[S.robust | trustrank]",method,0.514724225252406,0.045632622943247714,11.27974225572256,1.6522936422076727e-29,1.673177018197819,1.5300278345627638,1.8297192188175873
"C(_combo, Sum)[S.robust_bias_aware | closeness]",method,-0.4029933184517568,0.0517243875001853,-7.79116656432738,6.639332086393678e-15,0.6683165646980113,0.6038851458090644,0.7396224824363726
"C(_combo, Sum)[S.robust_bias_aware | degree]",method,0.005014487023802956,0.048675908626075744,0.10301784117321415,0.9179488110814523,1.0050270806051764,0.9135761546955217,1.1056324396803077
"C(_combo, Sum)[S.robust_bias_aware | trustrank]",method,0.5018996542613421,0.045699808369372465,10.982533016434047,4.6373535551818385e-28,1.6518562478313499,1.5103322741975,1.8066415649823122
"C(_combo, Sum)[S.rwr | closeness]",method,-0.444408994113251,0.056362676070390014,-7.884810039151426,3.1501435087721314e-15,0.6412031188899779,0.5741424117831349,0.7160966186025839
"C(_combo, Sum)[S.rwr | degree]",method,-0.03621728136588957,0.052850947343750884,-0.6852721320268239,0.4931722138461955,0.9644307178918228,0.8695293117558358,1.0696897701299304
"C(_combo, Sum)[S.rwr | trustrank]",method,0.4712702356888034,0.049263395059434466,9.566336934761262,0.0,1.6020278542844537,1.4545753194788111,1.7644278790752832
"C(ppi, Sum)[S.NeDRex]",network,0.12456246679902186,0.033916567159641295,3.6726142186713937,0.00024008178559611597,1.1326527714434638,1.059807424571873,1.2105051077338973
"C(ppi, Sum)[S.NeDRex_high_confidence]",network,-0.3525925842105091,0.03607897123377753,-9.77280039183623,1.4732257767023812e-22,0.7028634927366392,0.6548781649044327,0.7543648817395526
"C(ppi, Sum)[S.biogrid]",network,0.09422311278882392,0.03395445034527571,2.7749856596319122,0.005520414193148738,1.0988048759905853,1.0280600842070784,1.1744178905962552
"C(ppi, Sum)[S.hippie_high_confidence]",network,-0.4383224111043598,0.0366643858363943,-11.954991229370771,6.114003112896874e-33,0.6451177561958266,0.600385525949728,0.6931827990036947
"C(ppi, Sum)[S.hippie_medium_confidence]",network,0.038671256990797036,0.03413639756270307,1.1328452839748002,0.25727923094877403,1.039428722551346,0.9721600254907568,1.1113520829241255
"C(ppi, Sum)[S.iid]",network,0.227642950141845,0.033803713461996565,6.734258660598634,1.647678384251027e-11,1.255636920401308,1.1751418799646205,1.3416457218955957
"C(ppi, Sum)[S.string_min700]",network,0.3521479461021482,0.032988438760249324,10.674889729139965,1.3341583169148398e-26,1.4221189051044423,1.3330796531677693,1.5171052798305171
"C(ppi, Sum)[S.string_min900]",network,0.21465238121433305,0.033331107673981564,6.440001433912496,1.1947237336810847e-10,1.2394309725820887,1.161049817132247,1.3231035508795965
"C(ppi, Sum)[S.string_physical_min700]",network,-0.0776598484098015,0.03466189019670012,-2.240496636770111,0.025058698877623898,0.9252791081808006,0.8645069757023102,0.9903233312147002
"C(ppi, Sum)[S.string_physical_min900]",network,-0.18332527031229862,0.035035362455199955,-5.232578100104384,1.6716198625310597e-07,0.8324973250279845,0.7772489501837333,0.8916728623627213
