term,effect_type,coef_logit,std_err,z_value,p_value,odds_ratio,ci_low_or,ci_high_or
"C(_combo, Sum)[S.diamond | closeness]",method,-0.6343895368586527,0.045384824645148904,-13.978010090790589,2.1234244425638417e-44,0.5302590931648443,0.48512816820903026,0.5795884970399235
"C(_combo, Sum)[S.diamond | degree]",method,-0.20676090811126466,0.03799532626070741,-5.441745826646183,5.276092031287993e-08,0.8132140596312238,0.7548544127190225,0.8760856340493514
"C(_combo, Sum)[S.diamond | trustrank]",method,0.16893130696399006,0.03292678184461598,5.130513748995876,2.8895245225275554e-07,1.1840388009103358,1.11003994417691,1.2629706610249274
"C(_combo, Sum)[S.domino | closeness]",method,-0.012464752351235581,0.03944503071449225,-0.31600310927520675,0.7520001481141003,0.9876126109028097,0.9141363018271574,1.066994787609569
"C(_combo, Sum)[S.domino | degree]",method,0.11828915152264477,0.037536744912836775,3.1512895376869072,0.001625512641552528,1.1255695244600696,1.0457334271443524,1.2115006764705667
"C(_combo, Sum)[S.domino | trustrank]",method,0.15185303249633145,0.03707253532603922,4.096105949076325,4.201577005302319e-05,1.1639891552802866,1.0824123400443486,1.2517140681845915
"C(_combo, Sum)[S.firstneighbor | closeness]",method,-0.3142850735418838,0.04906047743119625,-6.406074502284364,1.4931402262218502e-10,0.7303108061933508,0.6633570861069541,0.8040222752015472
"C(_combo, Sum)[S.firstneighbor | degree]",method,-0.25892807530134426,0.047951853778940796,-5.399751102324614,6.673341774121885e-08,0.7718785381784822,0.7026390357490123,0.847941044245332
"C(_combo, Sum)[S.firstneighbor | trustrank]",method,0.04356830771999141,0.04251426407159872,1.0247927059637574,0.3054610087985383,1.0445313414296116,0.961021864269428,1.1352975034112884
"C(_combo, Sum)[S.no_tool | closeness]",method,0.20688076689587406,0.03239919690597679,6.385367127964522,1.7098675384879203e-10,1.229835925883395,1.1541677342560814,1.3104649867623848
"C(_combo, Sum)[S.no_tool | degree]",method,0.34535763599980596,0.030869676279899057,11.187601478823646,4.689475663145353e-29,1.4124949884042932,1.329568139386677,1.5005940900385848
"C(_combo, Sum)[S.no_tool | trustrank]",method,0.327702269847973,0.031056610798121425,10.551771794358041,4.984808729162728e-26,1.3877757280963312,1.3058216130379605,1.474873330525366
"C(_combo, Sum)[S.robust | closeness]",method,-0.18527113511734522,0.03775361240081595,-4.907375038721885,9.230342749717009e-07,0.8308789728408413,0.7716170851425641,0.8946923037370285
"C(_combo, Sum)[S.robust | degree]",method,0.034509532008139075,0.03467611125370903,0.9951961382188687,0.3196408796524629,1.035111895024098,0.9670990126747534,1.1079078989616573
"C(_combo, Sum)[S.robust | trustrank]",method,0.29179876439746977,0.03159001155693987,9.237057855186691,2.5336807656396413e-20,1.3388335695488727,1.2584533657388273,1.4243478350098646
"C(_combo, Sum)[S.robust_bias_aware | closeness]",method,-0.17039836817889206,0.03753168596353692,-4.540120269162404,5.622214902087243e-06,0.8433287943145369,0.7835196631504373,0.9077033912082664
"C(_combo, Sum)[S.robust_bias_aware | degree]",method,0.040744988114046324,0.03459493579538084,1.1777731964886795,0.23888703697207692,1.0415864547486546,0.9733029972404181,1.114660435436722
