term,effect_type,coef_logit,std_err,z_value,p_value,odds_ratio,ci_low_or,ci_high_or
"C(_combo, Sum)[S.diamond | closeness]",method,-0.7554352854285621,0.048089812542455264,-15.708842382399371,1.315594118578376e-55,0.46980607047947187,0.42754762810673347,0.5162413012013302
"C(_combo, Sum)[S.diamond | degree]",method,-0.27755454613766756,0.040144797245791355,-6.913836043019633,4.717203528857392e-12,0.7576342374544486,0.700306695890644,0.8196546472159079
"C(_combo, Sum)[S.diamond | trustrank]",method,0.14108162265073146,0.034744068726680157,4.0605958893465495,4.894762893905288e-05,1.151518634152278,1.0757138624353897,1.2326653128722425
"C(_combo, Sum)[S.domino | closeness]",method,-0.21143790869725057,0.04253418193455458,-4.971011527213114,6.660448888042362e-07,0.8094195374060168,0.744677996573402,0.8797896413607703
"C(_combo, Sum)[S.domino | degree]",method,-0.062532094596978,0.040466570738798446,-1.5452778294609388,0.12227907574772959,0.9393829132136511,0.8677556476975569,1.0169225172768075
"C(_combo, Sum)[S.domino | trustrank]",method,-0.024336291637324717,0.03996382774059233,-0.6089579755796438,0.5425522944368808,0.975957448236974,0.9024301799597526,1.0554754948595644
"C(_combo, Sum)[S.firstneighbor | closeness]",method,-0.05147956365799603,0.05026762240456528,-1.0241097787294726,0.3057834261374266,0.949823060672768,0.8607060026867317,1.0481672531266666
"C(_combo, Sum)[S.firstneighbor | degree]",method,0.005912443917795917,0.04915935208505092,0.12027098948673609,0.9042684843051736,1.0059299569121898,0.9135308653952321,1.1076747557681825
"C(_combo, Sum)[S.firstneighbor | trustrank]",method,0.3200476651422631,0.04373164977308014,7.318444806060682,2.5086115953224875e-13,1.377193406891177,1.2640681451864582,1.5004425886428436
"C(_combo, Sum)[S.no_tool | closeness]",method,0.15978692234797043,0.03440334534377442,4.644517001219047,3.4087297927349626e-06,1.1732608486888167,1.0967569572143356,1.2551012419034873
"C(_combo, Sum)[S.no_tool | degree]",method,0.31549073380897336,0.032756893318178285,9.631277628940875,5.8991381329784185e-22,1.3709319085476346,1.285680824637018,1.4618358319256104
"C(_combo, Sum)[S.no_tool | trustrank]",method,0.2956469374807916,0.032957922577753554,8.970436069910303,2.953428219295708e-19,1.3439955585978351,1.2599229851810625,1.4336781555510092
"C(_combo, Sum)[S.robust | closeness]",method,-0.23322737294741105,0.03973084114266761,-5.87018462835775,4.353100938403162e-09,0.7919734797065066,0.7326417872121304,0.8561100438253127
"C(_combo, Sum)[S.robust | degree]",method,0.010036400482379672,0.036472550640806636,0.275176819444885,0.7831803951511291,1.0100869340666414,0.9404013890830828,1.0849363114690256
"C(_combo, Sum)[S.robust | trustrank]",method,0.29466561430202276,0.033219779142648884,8.87018583226278,7.302393883274346e-19,1.3426773115230144,1.2580413704251339,1.4330072168210575
"C(_combo, Sum)[S.robust_bias_aware | closeness]",method,-0.21675924581566025,0.03949538531290404,-5.488217018225673,4.0601105951188576e-08,0.8051237828929921,0.7451507153464677,0.869923751570877
"C(_combo, Sum)[S.robust_bias_aware | degree]",method,0.016935825469247674,0.0363868029251068,0.4654386785259993,0.6416173410221871,1.0170800495959194,0.9470712057313803,1.092264046278524
"C(_combo, Sum)[S.robust_bias_aware | trustrank]",method,0.2878527083627476,0.033291055942047995,8.646547855491049,5.30807847681518e-18,1.3335608672934691,1.2493250402873899,1.4234763007450943
"C(_combo, Sum)[S.rwr | closeness]",method,-0.24742932874870593,0.0424927615398555,-5.822858288855456,5.7849605466271736e-09,0.780805399355724,0.7184108845778647,0.8486189237253604
"C(_combo, Sum)[S.rwr | degree]",method,-0.019209687485203245,0.03907206885022014,-0.49164756437244594,0.6229685125250867,0.9809736427789563,0.9086552358578898,1.0590477552451112
"C(_combo, Sum)[S.rwr | trustrank]",method,0.25194445118783587,0.03557447162993977,7.0821698719425905,1.419087070075875e-12,1.2865245703882033,1.1998763223728752,1.379430062374542
"C(ppi, Sum)[S.NeDRex]",network,0.07689695182266758,0.025086899504460285,3.0652234170665773,0.0021750745061039217,1.0799307857594327,1.0281155179949215,1.13435745460341
"C(ppi, Sum)[S.NeDRex_high_confidence]",network,-0.20552738307264012,0.027421744114273235,-7.495051453188257,6.627236039283937e-14,0.8142177984767668,0.7716123333689203,0.8591757734895943
"C(ppi, Sum)[S.biogrid]",network,0.06439502591012713,0.025134249370742677,2.5620429303564425,0.01040584549674267,1.066513616072004,1.0152478829833664,1.120368052307101
"C(ppi, Sum)[S.hippie_high_confidence]",network,-0.27651678624460724,0.02794779532523848,-9.89404649013214,4.418003473729521e-23,0.7584208879862757,0.7179944365300153,0.8011235381067541
"C(ppi, Sum)[S.hippie_medium_confidence]",network,0.03563459438242004,0.02530612853851072,1.408140890780331,0.15908935492348386,1.0362771158204902,0.9861325452910159,1.0889715240625442
"C(ppi, Sum)[S.iid]",network,0.12780787391350218,0.024970738357989103,5.1183057577715365,3.0829252306328523e-07,1.13633466219168,1.0820594528159972,1.1933322712886603
"C(ppi, Sum)[S.string_min700]",network,0.1858139514820522,0.024098277904201416,7.710673443999767,1.2515553357405767e-14,1.2041982002447773,1.148644090147016,1.2624391819115717
"C(ppi, Sum)[S.string_min900]",network,0.12138302781340843,0.02457275172829264,4.939740943772696,7.822642830165933e-07,1.1290572899007107,1.0759686433263072,1.1847653477493953
"C(ppi, Sum)[S.string_physical_min700]",network,-0.03330235207716465,0.025939846983425472,-1.2838299354056917,0.19920146683631135,0.9672460665159757,0.9192993106937382,1.017693521911394
"C(ppi, Sum)[S.string_physical_min900]",network,-0.0965849039297656,0.026563156382632756,-3.636047709786241,0.000276853077670669,0.90793280726386,0.8618718455388297,0.9564554020101065
approved_drugs_with_targets,other,0.04016810056373676,0.0006406879239437253,62.69526716920751,0.0,1.0409857497766084,1.0396793780728413,1.0422937629547229
jaccard_mean,other,-105.12635739282585,4.319124804088576,-24.339735979222226,7.446103690074472e-131,2.2090374659788716e-46,4.653260683562047e-50,1.0486939928675682e-42
