term,effect_type,coef_logit,std_err,z_value,p_value,odds_ratio,ci_low_or,ci_high_or
"C(_combo, Sum)[S.diamond | closeness]",method,-422474996551974.25,692586.4569162107,-609996040.6864921,0.0,0.0,0.0,0.0
"C(_combo, Sum)[S.diamond | degree]",method,-162940386702450.38,692586.4569162106,-235263605.1070848,0.0,0.0,0.0,0.0
"C(_combo, Sum)[S.diamond | trustrank]",method,78188435537561.33,692586.4569162107,112893393.6792538,0.0,inf,inf,inf
"C(_combo, Sum)[S.domino | closeness]",method,-71704579409967.1,794641.6690688481,-90235111.2470476,0.0,0.0,0.0,0.0
"C(_combo, Sum)[S.domino | degree]",method,28216197769013.73,794641.6690688479,35508077.24704035,0.0,inf,inf,inf
"C(_combo, Sum)[S.domino | trustrank]",method,44078659355868.555,794641.6690688482,55469856.504654996,0.0,inf,inf,inf
"C(_combo, Sum)[S.firstneighbor | closeness]",method,-10909567539877.34,849971.7322611868,-12835212.1909449,0.0,0.0,0.0,0.0
"C(_combo, Sum)[S.firstneighbor | degree]",method,26283977303878.65,849971.7322611867,30923354.63198896,0.0,inf,inf,inf
"C(_combo, Sum)[S.firstneighbor | trustrank]",method,124347075750717.27,849971.7322611866,146295542.58224064,0.0,inf,inf,inf
"C(_combo, Sum)[S.no_tool | closeness]",method,94046699717594.0,691584.9478760478,135987198.6896538,0.0,inf,inf,inf
"C(_combo, Sum)[S.no_tool | degree]",method,117653575677527.5,691584.9478760473,170121654.66998354,0.0,inf,inf,inf
"C(_combo, Sum)[S.no_tool | trustrank]",method,119784553415471.28,691584.9478760475,173202950.38714495,0.0,inf,inf,inf
"C(_combo, Sum)[S.robust | closeness]",method,-137003557160556.4,693939.8916569031,-197428565.22261086,0.0,0.0,0.0,0.0
"C(_combo, Sum)[S.robust | degree]",method,28225635547080.793,693939.8916569029,40674467.46675299,0.0,inf,inf,inf
"C(_combo, Sum)[S.robust | trustrank]",method,118513664471331.95,693939.8916569027,170783760.8072363,0.0,inf,inf,inf
"C(_combo, Sum)[S.robust_bias_aware | closeness]",method,-128373252396762.25,693939.8916569037,-184991890.42187575,0.0,0.0,0.0,0.0
"C(_combo, Sum)[S.robust_bias_aware | degree]",method,29682294875047.324,693939.8916569037,42773582.02333003,0.0,inf,inf,inf
"C(_combo, Sum)[S.robust_bias_aware | trustrank]",method,121901793926796.36,693939.8916569031,175666214.59927094,0.0,inf,inf,inf
"C(_combo, Sum)[S.rwr | closeness]",method,-134737180952728.44,718510.5173888302,-187522907.03048104,0.0,0.0,0.0,0.0
"C(_combo, Sum)[S.rwr | degree]",method,21204384519933.92,718510.5173888302,29511585.435093813,0.0,inf,inf,inf
"C(_combo, Sum)[S.rwr | trustrank]",method,116016572846493.45,718510.5173888281,161468162.31460965,0.0,inf,inf,inf
"C(ppi, Sum)[S.NeDRex]",network,34916701653103.867,487847.033871416,71573053.08595361,0.0,inf,inf,inf
"C(ppi, Sum)[S.NeDRex_high_confidence]",network,-80098362346773.67,487904.79167611257,-164168017.43555254,0.0,0.0,0.0,0.0
"C(ppi, Sum)[S.biogrid]",network,31960212697195.883,486147.3386883334,65741823.833546504,0.0,inf,inf,inf
"C(ppi, Sum)[S.hippie_high_confidence]",network,-114780512613726.72,481347.506416396,-238456647.3985934,0.0,0.0,0.0,0.0
"C(ppi, Sum)[S.hippie_medium_confidence]",network,19943914682841.11,485549.34496160725,41074949.2091645,0.0,inf,inf,inf
"C(ppi, Sum)[S.iid]",network,45146960605124.586,494189.629452742,91355540.29152663,0.0,inf,inf,inf
"C(ppi, Sum)[S.string_min700]",network,55098500645504.35,483092.9322823607,114053626.0491182,0.0,inf,inf,inf
"C(ppi, Sum)[S.string_min900]",network,43914399315050.1,481587.71633753914,91186709.76290229,0.0,inf,inf,inf
"C(ppi, Sum)[S.string_physical_min700]",network,-5009352040775.408,486267.8127627502,-10301631.95938175,0.0,0.0,0.0,0.0
"C(ppi, Sum)[S.string_physical_min900]",network,-31092462597544.1,493154.38087730616,-63048132.19388133,0.0,0.0,0.0,0.0
approved_drugs_with_targets,other,25407578541293.453,15986.885484987066,1589276320.5912218,0.0,inf,inf,inf
jaccard_mean,other,35256458815836.34,305923.00859143597,115246182.29327689,0.0,inf,inf,inf
num_children,other,-7371043917725.994,15727.474243579496,-468673087.844039,0.0,0.0,0.0,0.0
seed_entropy,other,519803073444189.8,527540.4040099168,985333198.164701,0.0,inf,inf,inf
seed_gene_score_mean,other,712087073163998.4,1252620.6597289194,568477828.9686693,0.0,inf,inf,inf
seed_specificity_adjusted_mean,other,-46370149891223.95,138023.77656368006,-335957695.44698805,0.0,0.0,0.0,0.0
seeds,other,2017180094417.8242,16050.025764029966,125680801.02018072,0.0,inf,inf,inf
